code	producer_version_id	lc	product_name_de	product_name_en	product_name_fr	product_name_it	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	quantity	serving_size	packaging	packaging_tags	packaging_text_de	packaging_text_en	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	calcium_value	calcium_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:partyName	data_sources
4101810300857		de	"Popcorn süß"																					Deutschland	en:germany			0																			100g	100g			357	kcal	4.6999998092651	g	2.5999999046326	g	70	g	39	g			4.8000001907349	g							357	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4260350920731		de	Heimatgut Zimt Popcorn																					Deutschland	en:germany			0																			100g	100g			135	kcal	5.1	g	4.2	g	18.6	g	8.4	g			2	g							135	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
22168382		fr			Popcorn salé							100g								Snacks, Snacks salés, Popcorn, Popcorn salé	en:snacks,en:salty-snacks,en:popcorn,en:salted-popcorn			France, Allemagne	en:france,en:germany			0											Maiskörner 84%, Palmfett, Speisesalz 1,95%								100g	100g			436	kcal	17	g	9.5	g	41	g	0.4	g			7.9	g	2	g	0.8	g			436	kcal																											en:salty-and-fatty-products	en:salty-snacks,en:salty-and-fatty-products			e	22	b	70	1	9230	-5	-15	1	0												App - yuka, Apps, App - Open Food Facts
4031446425498		de	Toffee Caramel Popcorn																	"Imbiss, Süßer Snack, Süßwaren"	en:snacks,en:sweet-snacks,en:confectioneries			Deutschland	en:germany			0																			100g	100g			483	kcal	22	g	8.8	g	69	g	55	g			2.2	g	0.51	g	0.204	g			483	kcal																											en:sweets	en:sugary-snacks,en:sweets			e	26	unknown				-5	-15	1	0												App - yuka, Apps
5706516010155		en	Popcorn Mais	mais per popcorn							500g						Popz	popz						Germany, Ireland	en:germany,en:ireland			0																			100g	100g																																																									unknown		1		-5	-15	1	0												App - yuka, Apps, App - Speisekammer
4311501664049		de	Microwellen-Popcorn salzig								3 x 100 g						Gut & Günstig	gut-gunstig		Imbiss, Popcorn	en:snacks,en:popcorn			Deutschland	en:germany			0																			100g	100g			450	kcal	22	g	9.5	g	43	g	0.7	g			8.1	g	2.3	g	0.92	g			450	kcal																															e	24	b	70		9230	-5	-15	1	0												App - yuka, Apps
4250221319528		de	Toffee Popcorn																					Deutschland	en:germany			0																			100g	100g			410	kcal	6.9	g	0.5	g	81	g	40	g			4	g	0.78	g	0.312	g			410	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4104420010765		de	Popcorn Mais		Popcornmais						500g						Alnatura	alnatura		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Samen, Getreideprodukte, Getreidekörner, Mais	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:corn	"Bio, EU-Öko-Verordnung, Bio 7 Initiative, Biodynamische Landwirtschaft, DE-ÖKO-001, Demeter, EG-Öko-Verordnung"	en:organic,en:eu-organic,de:bio-7-initiative,en:biodynamic-agriculture,en:de-oko-001,en:demeter,en:eg-oko-verordnung	Frankreich, Deutschland, Schweiz	en:france,en:germany,en:switzerland			0									"Popcornmais*
* aus biodynamischem Landbau
Kann Spuren von Gluten, Erdnuss, Soja, Milch, Mandel, Nüssen, Sesam und Lupine enthalten."					Sesam	en:sesame-seeds	Gluten, Lupinen, Milch, Schalenfrüchte, Erdnüsse, Sesam, Soja	en:gluten,en:lupin,en:milk,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans		100g	100g	1457	kJ	345	kcal	3.8	g	0.6	g	64.2	g	1.4	g	9.7	g	8.7	g	0.02	g	0.008	g			1457	kJ																											en:cereals	en:cereals-and-potatoes,en:cereals	1	en:1-unprocessed-or-minimally-processed-foods	a	-6	unknown		1		-5	-15	1	20												App - yuka, Apps, Database - FoodRepo / openfood.ch, Databases
4260509930512		de	Popcorn Banane&Himbeere	Popcorn Banane/Erdbeere								25g					Wildcorn	wildcorn		Imbiss, Popcorn	en:snacks,en:popcorn	"Bio, EU-Öko-Verordnung, Nicht EU-Landwirtschaft, CZ-BIO-001, EG-Öko-Verordnung, Mit Sonnenblumenöl"	en:organic,en:eu-organic,en:non-eu-agriculture,en:cz-bio-001,en:eg-oko-verordnung,en:with-sunflower-oil	Deutschland	en:germany			0									"Corn* (68%), sunflower oil&quot;, banana powder&quot; (7,2%), raspberry powder* (2,2%), Keep dry, Store away from heat, May contain unpopped kernels, aus kontrolliert ökologischer Landwirtschaft/ from certified organic farming nur mit der natürlichen Süße aus Früchten / naturally sweet with fruit *, BiO nach EG-Öko-Verordnung CZ-BIO-001 EU-/Nicht-EU-Landwirtschaft"	corn* (68%), sunflower oil&quot;, banana powder&quot; (7.2%), raspberry powder* (2.2%), dry keep, store away from heat, may contain unpopped kernels, from certified organic farming only with the natural sweetness of fruit / naturally sweet with fruit *, bio according to ec eco-regulation cz-bio-001 eu-/non-eu-agriculture									100g	100g			124	kcal	6.5	g	0.7	g	14	g	1.7	g	2	g	1.8	g	0	g	0	g			124	kcal																															a	-2	b	79		9230	-5	-15	1	15												App - yuka, Apps, App - InFood
4260509931021		de	Popcorn Tomate & Milder Chili														Wildcorn	wildcorn		Imbiss, Popcorn	en:snacks,en:popcorn	"Bio, EG-Öko-Verordnung"	en:organic,en:eg-oko-verordnung	Deutschland	en:germany			0																			100g	100g	1971	kJ	472	kcal	23	g	2.4	g	53	g	3.4	g	8.9	g	8.3	g	2.2	g	0.88	g			1971	kJ																															d	11	b	70		9230	-5	-15	1	0												App - yuka, Apps
